acc_x_mean,acc_y_mean,acc_z_mean,gyro_x_mean,gyro_y_mean,gyro_z_mean,acc_x_std,acc_y_std,acc_z_std,gyro_x_std,gyro_y_std,gyro_z_std,acc_x_aad,acc_y_aad,acc_z_aad,gyro_x_aad,gyro_y_aad,gyro_z_aad,acc_x_min,acc_y_min,acc_z_min,gyro_x_min,gyro_y_min,gyro_z_min,acc_x_max,acc_y_max,acc_z_max,gyro_x_max,gyro_y_max,gyro_z_max,acc_x_maxmin_diff,acc_y_maxmin_diff,acc_z_maxmin_diff,gyro_x_maxmin_diff,gyro_y_maxmin_diff,gyro_z_maxmin_diff,acc_x_median,acc_y_median,acc_z_median,gyro_x_median,gyro_y_median,gyro_z_median,acc_x_mad,acc_y_mad,acc_z_mad,gyro_x_mad,gyro_y_mad,gyro_z_mad,acc_x_IQR,acc_y_IQR,acc_z_IQR,gyro_x_IQR,gyro_y_IQR,gyro_z_IQR,acc_x_neg_count,acc_y_neg_count,acc_z_neg_count,gyro_x_neg_count,gyro_y_neg_count,gyro_z_neg_count,acc_x_pos_count,acc_y_pos_count,acc_z_pos_count,gyro_x_pos_count,gyro_y_pos_count,gyro_z_pos_count,acc_x_above_mean,acc_y_above_mean,acc_z_above_mean,gyro_x_above_mean,gyro_y_above_mean,gyro_z_above_mean,acc_x_peak_count,acc_y_peak_count,acc_z_peak_count,gyro_x_peak_count,gyro_y_peak_count,gyro_z_peak_count,acc_x_skewness,acc_y_skewness,acc_z_skewness,gyro_x_skewness,gyro_y_skewness,gyro_z_skewness,acc_x_kurtosis,acc_y_kurtosis,acc_z_kurtosis,gyro_x_kurtosis,gyro_y_kurtosis,gyro_z_kurtosis,acc_x_energy,acc_y_energy,acc_z_energy,gyro_x_energy,gyro_y_energy,gyro_z_energy,acc_avg_result,gyro_avg_result,acc_sma,gyro_sma,labels
-3.2299999999999995,-12.511500000000002,-3.2299999999999995,-0.9487500000000001,1.19075,-0.9465,4.642042115276422,11.736583521195596,7.581378832376074,2.0579737455808322,2.1322903032889307,2.5502779750450735,3.0869999999999997,6.981400000000001,4.8275,1.4660625,1.49975,1.645225,-15.27,-63.86,-30.81,-8.76,-6.82,-8.75,14.29,-0.94,16.5,0.55,5.59,1.5,29.56,62.92,47.31,9.31,12.41,10.25,-3.1799999999999997,-9.29,-2.3200000000000003,-0.045,1.0,-0.05500000000000001,1.6799999999999997,0.7800000000000002,1.5450000000000002,0.33999999999999997,1.005,0.5299999999999999,3.9749999999999996,1.5150000000000006,2.9675,1.0,1.9649999999999999,0.92,35,40,30,24,11,23,5,0,10,15,29,17,20,32,30,31,20,33,11,5,10,8,9,5,0.9618313325224594,-2.9860653465052143,-0.9198829947301942,-2.189174004607104,-0.5832844896884529,-2.2516049693831373,4.09380102207292,9.045225834701267,3.3849920248273966,4.396018318031458,3.6905841456083666,3.9996190304771684,12.792582,117.71400999999997,27.164081999999997,2.0541530000000003,2.385819,2.959912,15.62225913721941,2.778829071366896,8.998800000000001,1.6664,1
1.3987499999999997,-14.34975,-8.4795,-0.4327500000000001,0.7215,0.784,8.468047350924532,15.122254707466741,9.583391609967736,2.958323839186643,2.4270316747006,4.417677444087561,7.5610625,9.15915,7.953475,2.143525,2.0040749999999994,3.2992000000000004,-16.55,-78.7,-34.28,-8.76,-4.56,-8.75,15.48,0.79,14.5,5.17,6.09,8.71,32.03,79.49000000000001,48.78,13.93,10.649999999999999,17.46,-1.8199999999999998,-10.875,-7.335000000000001,-0.135,0.30000000000000004,-0.16999999999999998,6.454999999999999,3.8,7.295,1.325,1.93,1.205,15.055,8.315,14.195,2.755,2.9475,3.8975,22,37,35,22,15,21,18,3,5,18,25,19,17,28,21,22,19,14,11,10,9,5,11,7,0.1350713613845655,-2.6659821215834527,0.029781468669325368,-0.7304306716055957,-0.0351323752718708,-0.0125686818836065,-1.1211754518318844,7.705559041018569,0.1449723977146733,1.2587039621899905,-0.339629083266451,-0.037139455068853966,29.465731,173.83916499999998,65.497326,3.5755809999999997,2.564418,8.052211999999999,21.645288402475604,4.965426454651045,12.877799999999999,2.9255,1
-1.6997500000000003,-14.559000000000001,-4.994249999999999,-1.246,1.2432500000000002,-1.20575,6.0354264503430075,15.039271890620238,10.491333539522037,2.2750558234909315,2.2764395308243963,2.3090765334869263,4.163825,8.93495,7.825662499999998,1.8039,1.58025,1.4526249999999998,-16.25,-78.7,-29.4,-8.76,-8.33,-8.75,12.65,1.96,23.48,0.81,6.19,0.49,28.9,80.66,52.879999999999995,9.57,14.52,9.24,-3.01,-9.274999999999999,-2.24,-0.065,1.225,-0.36,2.165,1.3749999999999996,1.405,0.30500000000000005,1.19,0.445,3.9949999999999997,5.867499999999998,7.3225,2.3874999999999997,2.275,1.1975,32,39,34,25,11,30,8,1,6,13,29,10,14,31,29,28,20,30,9,6,9,6,10,7,0.9306591127022703,-2.9305042295700354,-0.15007538549138022,-1.6574339784975753,-1.300419102656607,-2.572240857824165,1.0306968243354167,8.349349761100497,0.4549354840514681,2.0454981541920967,6.0563526315505865,5.626905974884757,15.726208999999999,175.25767199999999,54.004245,2.691358,2.6911390000000006,2.714267,19.07709168304287,3.005801716540762,11.0718,1.8082,1
-0.6872500000000001,-15.868,-5.5105,-1.1489999999999998,1.3645,-1.03,7.6896661135253455,16.78072960273182,12.09843480579203,2.2048115565734863,2.6443146087407983,2.130780373478224,4.755399999999999,10.6369,9.05875,1.7521,1.8369500000000003,1.352,-15.63,-78.7,-40.87,-8.76,-8.69,-8.75,32.73,0.66,21.9,0.58,8.35,1.21,48.36,79.36,62.769999999999996,9.34,17.04,9.96,-2.43,-9.825,-2.215,-0.035,1.18,-0.4,1.52,1.5349999999999993,1.9400000000000002,0.325,1.3199999999999998,0.505,3.147499999999999,4.705000000000002,5.772500000000001,2.185,2.74,1.0999999999999999,32,39,32,25,13,28,8,1,8,15,27,11,8,31,30,28,18,30,12,8,10,7,10,7,2.1353292042798944,-2.533445100529916,-0.7251990701498978,-1.6780835083332435,-0.5428699507868908,-2.539393326348095,7.137356949440825,5.604784421775705,0.83457132630621,2.0712333719967067,4.274140880987965,6.158682572160664,23.841310999999997,213.35452400000003,70.69509400000001,2.472558,3.5417039999999997,2.24045,20.503019212927533,3.0528229626858674,11.784500000000001,1.8244,1
0.9502499999999999,-16.217000000000002,-6.6355,-1.5087499999999998,1.0805,-0.8935000000000001,8.217359213123155,17.241814173688336,10.95702695761948,2.769165205887868,2.6344942114189585,2.5259132506877586,5.526349999999999,11.533350000000002,9.2982,2.2393124999999996,1.909475,1.6494250000000001,-6.95,-78.7,-34.76,-8.76,-8.69,-8.75,40.14,0.98,8.98,0.87,7.2,1.3,47.09,79.68,43.739999999999995,9.629999999999999,15.89,10.05,-2.17,-9.75,-2.145,-0.055,1.31,-0.01,1.385,1.3900000000000006,1.63,0.5549999999999999,1.37,0.495,5.2675,4.370000000000001,17.2,3.59,2.65,1.0325,28,39,34,23,13,20,12,1,6,17,27,18,12,31,28,27,21,31,10,8,11,6,10,8,2.964069153216596,-2.397181520827941,-0.7675879798563622,-1.4439123215338527,-0.749795969267927,-2.281521580423841,10.549136125880649,5.1831743740385985,-0.4605099252632092,0.939002644880611,3.308693139861375,4.268793717483687,27.371187,224.10849799999997,65.63452,3.9778409999999997,3.243216,2.871432,21.21885698407899,3.450653233027802,12.0317,2.1033,1
-1.366,-15.892500000000002,-2.65075,-1.1822500000000002,0.87425,-1.01075,4.197406818501157,14.69183153150076,8.178581902597786,2.4449268777409277,1.8609915199968,2.4720349790203215,2.7161999999999997,9.682375000000002,4.879625,1.8204875,1.2926,1.6512,-10.65,-71.05,-24.19,-8.76,-6.51,-8.75,13.41,-7.28,17.9,0.79,4.8,0.79,24.060000000000002,63.769999999999996,42.09,9.55,11.309999999999999,9.54,-2.325,-9.605,-2.0599999999999996,0.0,0.6,-0.060000000000000005,0.935,0.6749999999999989,1.66,0.15000000000000002,0.69,0.33,1.905,2.3900000000000006,2.4975000000000005,1.0775,1.7374999999999998,0.9975,33,40,31,19,7,21,7,0,9,17,33,19,9,31,30,31,16,32,10,8,8,9,9,5,1.4640453254334125,-2.5928324226431356,-0.7006178768139466,-1.845703519326698,-1.038031850478112,-2.369302513397471,2.9979765023535387,5.9320947401428565,1.6750057140727206,2.2502834540224868,4.603828161040775,4.468549074362226,7.793672,187.368588,29.566270999999997,2.9501530000000002,1.6910410000000002,2.8530290000000003,17.656381885752822,2.591499752849612,9.964500000000001,1.5953,1
1.2774999999999999,-15.067250000000001,-5.3477500000000004,-0.6772500000000001,0.40874999999999995,0.7262500000000001,8.52505095292691,13.833424736394816,10.95828031387681,3.1602135904871997,2.1752691643794337,4.264870272059867,7.168000000000001,9.4620125,8.863137499999999,2.4818375,1.6270624999999999,3.4415,-12.59,-61.8,-19.48,-8.76,-6.08,-8.75,27.95,-2.55,25.24,5.22,5.46,8.49,40.54,59.25,44.72,13.98,11.54,17.240000000000002,0.485,-9.725,-4.470000000000001,-0.215,0.135,-0.245,7.14,3.62,7.9799999999999995,2.015,1.165,2.3449999999999998,12.559999999999999,10.059999999999999,15.542499999999999,3.57,2.215,6.725,20,40,29,25,17,21,20,0,11,15,23,18,20,29,21,23,17,16,11,6,8,5,11,6,0.5122180564659765,-2.1575287271309804,0.8760456117076563,-0.21570967965380647,-0.17279824828386203,-0.07755236115317825,0.44026097530967956,3.990328562501613,0.36009634519947875,-0.11871608167567116,1.0578825468401662,-0.3981708588270636,29.7234,167.35426500000003,59.47293500000001,4.178247,1.959549,7.486623000000001,21.36346971905378,4.906043690264264,12.873,2.9489,1
-0.8637500000000001,-15.649000000000001,-4.1755,-1.4360000000000002,1.1365000000000003,-1.0,4.510065790817247,15.112416550638086,8.877675920532356,2.462348269437124,2.1539934424227014,2.417458376063588,3.3418750000000004,9.33595,6.51975,1.9811000000000003,1.4156499999999999,1.58,-9.4,-76.6,-22.93,-8.76,-8.69,-8.75,13.89,-3.86,18.79,1.06,5.88,1.27,23.29,72.74,41.72,9.82,14.57,10.02,-1.93,-9.58,-1.87,0.005,1.05,0.03,1.18,0.6149999999999993,1.945,0.5700000000000001,0.9850000000000001,0.285,2.15,4.345000000000001,2.94,2.7750000000000004,2.105,1.2875,30,40,31,20,4,17,10,0,9,20,35,21,10,31,30,27,18,29,9,9,8,6,7,8,1.200344417410677,-2.877397662856251,-0.41473621472515376,-1.5150613465143579,-1.886277350941852,-2.4269860400458585,1.550554699400763,7.704584736305895,0.33100789478694503,1.5607253832566794,8.776683969928765,5.035370621929577,8.434702999999999,189.31053399999996,38.499172,3.2501020000000005,2.372528,2.7376419999999997,18.62287215649014,3.0210963390563483,10.387699999999999,1.8119999999999998,1
-1.241,-15.8095,-3.272,-0.9255000000000001,1.11275,-1.0445,6.476494344936927,15.765143188376058,8.399004762470373,1.8656754138917089,2.504789399829854,2.3059520268210263,4.06055,9.8657,5.6927,1.3052,1.6718,1.5805250000000002,-15.19,-78.7,-23.69,-8.76,-8.69,-8.75,22.9,-6.82,15.98,0.94,6.43,0.52,38.089999999999996,71.88,39.67,9.7,15.12,9.27,-2.41,-9.785,-2.12,-0.2,0.8400000000000001,-0.07,1.275,1.045,1.665,0.475,0.8750000000000001,0.29000000000000004,2.5175,2.6799999999999997,3.3775000000000004,1.2650000000000001,2.285,1.455,33,40,32,27,7,22,7,0,8,13,32,17,11,32,27,28,16,29,11,8,7,9,9,8,1.3882778664715645,-2.816148874772285,-0.34040578920893105,-2.2818823424036623,-1.074636512200868,-2.3090227124549205,3.6440063499308204,7.144865194129684,0.5725592252632539,5.976311212434442,4.519532845700999,4.410124771536034,17.394023999999998,199.39201199999997,32.499705999999996,1.7349180000000002,3.004873,2.563358,18.39129750771348,2.8490030765609484,10.7366,1.7129,1
2.1487499999999997,-13.9195,-6.375249999999999,-0.11749999999999998,0.61075,0.7152499999999999,8.997580838064195,16.45649232825756,9.619308963615836,2.6656479043564625,2.154826428624821,4.232739649151599,8.233187500000001,11.585825,8.1825125,1.9478749999999998,1.691675,3.181325,-14.88,-76.85,-18.99,-7.76,-4.98,-8.75,18.63,5.21,18.13,5.1,6.14,7.9,33.51,82.05999999999999,37.12,12.86,11.120000000000001,16.65,0.15,-8.575,-4.5600000000000005,-0.01,0.71,-0.11,8.43,7.864999999999999,9.08,1.2149999999999999,1.48,1.305,15.812499999999998,14.11,13.91,2.3925,2.5075000000000003,6.1225,19,35,32,20,16,21,21,5,8,19,24,19,19,27,21,21,22,14,7,3,8,8,9,9,0.00456953211516985,-1.9691879957483898,0.647774547511092,-0.5456875013602682,0.16360971697011964,-0.3340589569848584,-1.2816331487215995,4.358655184766407,-0.36123376282782527,0.8902572462979412,0.43416063057740617,0.01289516874597929,34.229434999999995,185.827448,53.269966999999994,2.847794,2.006517,7.371067,21.951170165844935,4.658315716613787,12.9892,2.716,1
